WaveHs	WaveTp	WaveDirection	CraneWire Max Tension	CraneWire Min Tension	sling1 Max Tension	sling1 Min Tension	sling2 Max Tension	sling2 Min Tension	sling3 Max Tension	sling3 Min Tension	sling4 Max Tension	sling4 Min Tension
1.500000	4.000000	180.000000	104.064323	68.650711	28.288691	18.021099	27.851816	18.442575	27.851816	18.442575	28.288691	18.021099
1.500000	4.000000	180.000000	120.607834	71.633530	33.447838	18.986965	31.920082	19.065723	31.920082	19.065723	33.447838	18.986965
1.500000	4.000000	180.000000	106.487030	73.529602	29.089067	19.600754	28.483387	19.494291	28.483387	19.494291	29.089067	19.600754
1.500000	4.000000	180.000000	107.013580	72.337494	28.680504	19.175846	28.940393	19.044279	28.940393	19.044279	28.680504	19.175846
1.500000	4.000000	195.000000	111.611145	70.822716	29.495558	18.805773	31.048191	18.912148	31.874193	18.912960	28.898619	18.832371
1.500000	4.000000	195.000000	111.623444	62.629147	31.781845	16.753626	30.064941	16.528660	30.386368	16.427961	30.976643	16.731163
1.500000	4.000000	195.000000	118.646706	72.255493	33.578899	19.225775	32.411747	19.243717	32.781887	19.188381	32.738003	19.255957
1.500000	4.000000	195.000000	104.637550	70.296638	28.874571	18.733488	28.112391	18.589876	28.149736	18.444939	28.196537	18.833309
1.500000	4.000000	195.000000	103.368507	72.279037	28.510681	18.800699	27.668064	19.287189	27.926842	19.272984	28.134846	19.055862
1.500000	4.000000	195.000000	120.225685	74.051361	30.721529	19.639935	33.944633	19.817362	35.130295	19.841028	30.746977	19.686171
1.500000	4.000000	195.000000	106.694885	66.077141	29.059641	17.403883	29.002264	17.673529	29.327234	17.737926	28.680826	17.487444
1.500000	4.000000	195.000000	114.985710	71.852890	31.528410	19.077761	30.596054	19.128633	30.976217	19.075871	31.272039	19.133692
1.500000	4.000000	195.000000	105.617744	73.535492	29.246429	19.402109	28.865177	19.611443	29.264288	19.524754	28.535990	19.504433
1.500000	4.000000	195.000000	109.114159	73.632530	29.700100	19.322395	29.772070	19.766844	30.087582	19.700264	29.408577	19.475853
1.500000	8.000000	165.000000	104.712128	69.578606	28.095989	18.499195	28.121700	18.530003	28.254234	18.547003	28.114998	18.427820
1.500000	8.000000	165.000000	105.381813	68.055443	28.286041	18.138626	28.310612	17.958452	28.325100	18.019812	28.295649	18.077234
1.500000	8.000000	165.000000	103.451859	67.477821	27.757269	17.951956	27.776745	18.032284	27.871040	17.999910	27.743481	17.919287
1.500000	8.000000	165.000000	102.593384	57.542198	27.586517	15.291712	27.641096	15.215128	27.637030	15.182230	27.614023	15.216138
1.500000	8.000000	165.000000	104.514565	64.201195	28.038349	17.045202	28.063961	17.105207	28.124807	17.110504	28.058964	16.996161
1.500000	8.000000	165.000000	104.902077	62.687588	28.145523	16.640491	28.306265	16.685877	28.409870	16.670420	28.166899	16.615913
1.500000	8.000000	165.000000	101.958923	62.186539	27.366842	16.604574	27.378151	16.411177	27.413582	16.428877	27.387066	16.621313
1.500000	8.000000	165.000000	109.061111	66.671982	29.121176	17.763924	30.294712	17.734766	30.407303	17.738789	29.153585	17.764183
1.500000	8.000000	165.000000	104.721466	63.610153	28.107838	16.880054	28.044968	16.798967	28.297853	16.842634	28.083817	16.812447
1.500000	8.000000	165.000000	102.390121	60.797428	27.474241	16.058245	27.523607	16.311853	27.633717	16.234438	27.507778	15.985758
1.500000	8.000000	180.000000	104.028465	71.029274	27.917778	18.945251	28.060066	18.916779	28.060066	18.916779	27.917778	18.945251
1.500000	8.000000	180.000000	105.033142	63.671764	28.197340	16.913996	28.224121	16.914438	28.224121	16.914438	28.197340	16.913996
1.500000	8.000000	180.000000	103.393677	63.014866	27.737700	16.613060	27.805035	16.881403	27.805035	16.881403	27.737700	16.613060
1.500000	8.000000	180.000000	102.599373	59.903431	27.567514	15.915195	27.625193	15.772587	27.625193	15.772587	27.567514	15.915195
1.500000	8.000000	180.000000	104.384979	64.145370	28.010622	17.057589	28.063023	17.059074	28.063023	17.059074	28.010622	17.057589
1.500000	8.000000	180.000000	105.488655	64.103775	28.149323	16.952297	28.521431	17.103188	28.521431	17.103188	28.149323	16.952297
1.500000	8.000000	180.000000	101.753822	63.960140	27.330273	16.992556	27.331451	17.020411	27.331451	17.020411	27.330273	16.992556
1.500000	8.000000	180.000000	108.703499	67.905594	28.947243	17.994207	30.213531	18.177288	30.213531	18.177288	28.947243	17.994207
1.500000	8.000000	180.000000	104.396957	59.614864	28.012684	15.696527	28.072487	15.900587	28.072487	15.900587	28.012684	15.696527
1.500000	8.000000	180.000000	102.775497	58.555134	27.608437	15.515026	27.623741	15.541463	27.623741	15.541463	27.608437	15.515026
1.500000	8.000000	195.000000	104.602440	67.413300	28.063433	17.920162	28.639040	17.895069	28.162170	17.846277	28.063570	17.960600
1.500000	8.000000	195.000000	108.214806	62.922077	29.040560	16.844563	29.146544	16.607235	29.165459	16.560173	29.036030	16.820311
1.500000	8.000000	195.000000	103.724258	64.028374	27.796408	17.027065	27.960709	17.020475	27.854517	17.021463	27.827589	17.037804
1.500000	8.000000	195.000000	103.787590	56.247406	28.027643	14.940225	28.097157	14.780411	28.163084	14.774911	27.851938	14.968597
1.500000	8.000000	195.000000	104.528450	61.182747	28.046408	16.194401	28.137110	16.223911	28.077288	16.212755	28.039906	16.233543
1.500000	8.000000	195.000000	104.857185	60.878437	28.139990	16.208645	28.264603	16.123661	28.168177	16.109787	28.128624	16.192032
1.500000	8.000000	195.000000	102.425072	61.272091	27.517593	16.215870	27.547779	16.302834	27.494049	16.336107	27.485073	16.251040
1.500000	8.000000	195.000000	111.157494	65.416527	29.171173	17.394865	31.428640	17.396526	30.803118	17.403667	29.175289	17.407766
1.500000	8.000000	195.000000	104.683998	59.329594	28.033836	15.799566	28.319029	15.684387	28.027233	15.657591	28.106379	15.797063
1.500000	8.000000	195.000000	102.449867	54.916386	27.476648	14.551511	27.601711	14.511702	27.570496	14.506992	27.480207	14.552246
1.700000	8.000000	165.000000	105.356255	67.517792	28.266346	17.934469	28.291483	17.982136	28.599562	17.990538	28.285851	17.858942
1.700000	8.000000	165.000000	109.948326	65.634819	29.521040	17.428925	29.579308	17.313185	29.571356	17.392138	29.539717	17.387659
1.700000	8.000000	165.000000	103.903603	65.089478	27.878626	17.289736	27.892096	17.404512	28.007130	17.360262	27.856720	17.247198
1.700000	8.000000	165.000000	104.786469	50.276592	27.917788	13.248459	28.541079	13.355437	28.426315	13.257769	28.114737	13.135832
1.700000	8.000000	165.000000	105.106499	61.019554	28.194252	16.181433	28.220404	16.197796	28.292383	16.203409	28.214911	16.136137
1.700000	8.000000	165.000000	105.547806	58.890831	28.315712	15.589354	28.703003	15.672212	28.706831	15.644727	28.338446	15.559757
1.700000	8.000000	165.000000	102.236496	57.676579	27.439621	15.388587	27.451096	15.159884	27.492666	15.181135	27.461309	15.417784
1.700000	8.000000	165.000000	110.597420	63.988964	29.436668	17.020613	31.165630	16.765488	31.105614	16.722040	29.470509	17.013496
1.700000	8.000000	165.000000	105.372963	60.050823	28.290319	15.984828	28.198570	15.837033	28.506069	15.877322	28.250523	15.934007
1.700000	8.000000	165.000000	102.749062	56.250248	27.565033	14.821745	27.691362	15.074341	27.810472	14.991966	27.601027	14.754590
1.700000	8.000000	180.000000	104.572395	69.138023	28.061283	18.448664	28.285986	18.378653	28.285986	18.378653	28.061283	18.448664
1.700000	8.000000	180.000000	109.033493	59.998459	29.537245	15.908257	29.184845	15.908051	29.184845	15.908051	29.537245	15.908257
1.700000	8.000000	180.000000	103.856506	59.499981	27.858084	15.628736	27.933559	15.939692	27.933559	15.939692	27.858084	15.628736
1.700000	8.000000	180.000000	104.273254	53.564148	27.893103	14.169150	28.308119	14.060013	28.308119	14.060013	27.893103	14.169150
1.700000	8.000000	180.000000	104.965347	60.843430	28.162977	16.143269	28.222334	16.167507	28.222334	16.167507	28.162977	16.143269
1.700000	8.000000	180.000000	106.469978	60.685471	28.406616	16.000454	28.793777	16.187624	28.793777	16.187624	28.406616	16.000454
1.700000	8.000000	180.000000	102.165443	60.571918	27.395920	16.096382	27.696846	16.064213	27.696846	16.064213	27.395920	16.096382
1.700000	8.000000	180.000000	111.205650	64.292465	29.241394	16.935751	31.087217	17.140482	31.087217	17.140482	29.241394	16.935751
1.700000	8.000000	180.000000	105.051392	55.286926	28.186333	14.477751	28.251335	14.716464	28.251335	14.716464	28.186333	14.477751
1.700000	8.000000	180.000000	103.321350	53.204132	27.763750	14.063354	27.842527	14.072403	27.842527	14.072403	27.763750	14.063354
1.700000	8.000000	195.000000	105.205063	64.769287	28.219505	17.208525	28.984707	17.170145	28.494249	17.122904	28.222700	17.244177
1.700000	8.000000	195.000000	115.515938	59.062199	30.981962	15.750820	31.168533	15.568031	31.203756	15.524024	30.996164	15.739649
1.700000	8.000000	195.000000	104.197853	60.904392	27.910959	16.152088	28.106400	16.178665	27.975651	16.190510	27.955599	16.170376
1.700000	8.000000	195.000000	109.079216	48.137093	29.468334	12.617752	29.610212	12.633698	29.705660	12.691353	29.257292	12.684778
1.700000	8.000000	195.000000	105.112663	56.982063	28.197678	15.042194	28.304201	15.088659	28.232500	15.096472	28.193909	15.080061
1.700000	8.000000	195.000000	105.502907	56.436893	28.309116	14.996454	28.559937	14.902922	28.360109	14.888277	28.298521	14.977251
1.700000	8.000000	195.000000	106.322800	56.429882	28.511036	14.839564	28.704412	14.946191	28.737333	14.998652	28.463947	14.894614
1.700000	8.000000	195.000000	114.145821	61.199402	29.527294	16.242052	32.699276	16.041409	32.303425	16.068157	29.520548	16.354645
1.700000	8.000000	195.000000	105.296700	54.658279	28.192766	14.608019	28.524584	14.377914	28.172361	14.334510	28.282164	14.561971
1.700000	8.000000	195.000000	102.755676	48.874565	27.585314	12.886090	27.797724	12.873537	27.660744	12.882857	27.578897	12.888119
1.900000	7.000000	165.000000	106.686462	60.733982	28.959831	16.070303	28.812115	16.152216	28.653095	16.133358	28.883617	16.025919
1.900000	7.000000	165.000000	104.905205	50.119701	28.135656	13.142292	28.357241	13.366809	28.237083	13.284984	28.200682	13.069258
1.900000	7.000000	165.000000	106.539612	60.609314	28.466579	16.077223	29.614756	16.161703	29.233974	16.134270	28.573286	16.022381
1.900000	7.000000	165.000000	105.824760	60.183002	28.734594	15.968731	28.430645	15.927291	28.626148	15.908296	28.352783	15.826505
1.900000	7.000000	165.000000	105.527908	54.715744	27.977293	14.524101	28.940866	14.418448	28.792065	14.428869	28.104767	14.543768
1.900000	7.000000	165.000000	110.926674	60.588310	29.386187	16.154728	30.345673	16.020435	30.221554	16.015427	29.285692	16.150585
1.900000	7.000000	165.000000	110.937096	48.368671	29.306189	13.019628	30.611485	12.439444	30.413462	12.463880	29.408796	13.065632
1.900000	7.000000	165.000000	108.394753	67.498444	29.072166	18.026194	29.117203	17.886047	29.170835	17.924067	29.095098	18.002167
1.900000	7.000000	165.000000	103.835938	36.779011	27.888847	9.536921	27.851328	9.634325	27.934574	9.583704	27.922903	9.504383
1.900000	7.000000	165.000000	109.176842	61.882198	28.489876	16.397615	29.921143	16.458603	30.276154	16.460274	28.814104	16.303370
1.900000	7.000000	180.000000	106.798019	67.615288	28.946434	17.909067	28.827408	17.963968	28.827408	17.963968	28.946434	17.909067
1.900000	7.000000	180.000000	105.385696	45.622440	28.032698	12.023500	28.642637	11.973175	28.642637	11.973175	28.032698	12.023500
1.900000	7.000000	180.000000	105.489594	51.055786	27.914513	13.473536	29.090973	13.512867	29.090973	13.512867	27.914513	13.473536
1.900000	7.000000	180.000000	104.909554	64.329315	28.086288	17.105417	28.309889	17.008617	28.309889	17.008617	28.086288	17.105417
1.900000	7.000000	180.000000	105.166000	57.617516	28.451210	15.180344	28.865433	15.338809	28.865433	15.338809	28.451210	15.180344
1.900000	7.000000	180.000000	117.626747	54.733212	30.816811	14.259823	32.558460	14.628085	32.558460	14.628085	30.816811	14.259823
1.900000	7.000000	180.000000	107.029945	42.770561	28.601347	11.255728	29.381617	11.158549	29.381617	11.158549	28.601347	11.255728
1.900000	7.000000	180.000000	107.773262	68.726768	28.843632	18.320927	30.151930	18.291618	30.151930	18.291618	28.843632	18.320927
1.900000	7.000000	180.000000	104.154442	42.930023	27.945419	11.243031	28.004158	11.187868	28.004158	11.187868	27.945419	11.243031
1.900000	7.000000	180.000000	110.057800	53.479626	29.292070	14.271364	30.749535	14.025848	30.749535	14.025848	29.292070	14.271364
1.900000	7.000000	195.000000	106.371605	63.808636	28.340225	16.633780	28.945135	17.109896	29.210663	17.249527	28.474718	16.753510
1.900000	7.000000	195.000000	104.729958	41.828129	28.323090	11.102982	28.347227	10.852224	28.521364	10.798532	28.024853	11.042573
1.900000	7.000000	195.000000	106.854492	46.113392	28.426157	12.056163	29.259356	12.177778	29.580584	12.221823	28.373314	12.104595
1.900000	7.000000	195.000000	106.348785	57.461521	28.784237	15.199730	29.190027	15.102975	29.404993	15.060186	28.488943	15.276212
1.900000	7.000000	195.000000	107.733818	51.171356	28.562721	13.467552	29.503618	13.498108	29.381506	13.523593	28.417725	13.490323
1.900000	7.000000	195.000000	119.105179	58.994816	31.280342	15.322897	32.621780	15.703560	32.830864	15.708143	31.473688	15.518892
1.900000	7.000000	195.000000	112.218201	45.866783	29.628763	12.222545	30.776142	11.867006	30.865772	11.884818	29.649323	12.219014
1.900000	7.000000	195.000000	107.913223	65.156693	28.920336	17.271294	29.273430	17.365717	29.850414	17.394648	29.663189	17.304321
1.900000	7.000000	195.000000	105.588478	34.166088	28.554806	8.618737	28.728376	8.924537	28.984924	9.050172	28.592249	8.696380
1.900000	7.000000	195.000000	110.040825	51.954197	29.748316	13.811325	30.351301	13.679592	29.319681	13.665683	28.935318	13.792418
1.900000	8.000000	165.000000	112.372391	56.648495	29.507746	14.894804	31.001877	15.148889	30.960621	15.086472	29.464691	14.787396
1.900000	8.000000	165.000000	113.448051	35.008640	30.542139	9.052463	30.573580	9.160157	30.541796	9.091852	30.660189	9.026255
1.900000	8.000000	165.000000	119.704079	35.322491	31.943634	9.210178	32.670361	9.086275	32.480217	9.084587	32.108604	9.254027
1.900000	8.000000	165.000000	104.736382	68.094345	28.026701	18.119989	28.561655	18.124834	28.807291	18.114063	27.969738	18.087751
1.900000	8.000000	165.000000	113.784729	37.347656	30.649401	9.681040	30.544085	9.812680	30.576658	9.754031	30.730581	9.649381
1.900000	8.000000	165.000000	145.667953	1.223200	41.090633	0.000000	39.959457	0.000000	40.443775	0.000000	39.585823	0.000000
1.900000	8.000000	165.000000	106.203300	62.058586	28.488623	16.464128	28.529961	16.456264	28.584805	16.471180	28.496508	16.420895
1.900000	8.000000	165.000000	111.752525	68.291046	29.546520	18.285175	30.949808	18.050537	31.023504	18.070644	29.712097	18.288683
1.900000	8.000000	165.000000	106.132820	60.048187	28.482189	16.056126	28.605000	15.715421	29.055490	15.800369	28.474554	16.103342
1.900000	8.000000	165.000000	121.299522	50.464458	31.716177	13.299330	34.256119	13.319577	33.964527	13.285330	32.184048	13.277092
1.900000	8.000000	180.000000	106.287239	55.650448	28.161955	14.721253	29.368149	14.686721	29.368149	14.686721	28.161955	14.721253
1.900000	8.000000	180.000000	112.599640	39.747906	30.441174	10.346387	31.198645	10.400987	31.198645	10.400987	30.441174	10.346387
1.900000	8.000000	180.000000	122.440483	46.408127	33.050079	12.173654	32.939430	12.244512	32.939430	12.244512	33.050079	12.173654
1.900000	8.000000	180.000000	106.229271	63.267971	28.168228	16.933601	28.968615	16.703337	28.968615	16.703337	28.168228	16.933601
1.900000	8.000000	180.000000	117.221283	44.060871	31.679132	11.478349	31.913542	11.643153	31.913542	11.643153	31.679132	11.478349
1.900000	8.000000	180.000000	149.452866	1.357621	40.342960	0.000000	41.308723	0.000000	41.308723	0.000000	40.342960	0.000000
1.900000	8.000000	180.000000	106.098244	64.856354	28.457218	17.225798	28.536085	17.148136	28.536085	17.148136	28.457218	17.225798
1.900000	8.000000	180.000000	111.091309	66.593758	28.970627	17.716892	30.799326	17.725758	30.799326	17.725758	28.970627	17.716892
1.900000	8.000000	180.000000	106.259766	60.925747	28.515457	16.235630	29.029657	16.111160	29.029657	16.111160	28.515457	16.235630
1.900000	8.000000	180.000000	113.954300	53.406456	29.498949	14.079935	31.769653	14.170490	31.769653	14.170490	29.498949	14.079935
1.900000	8.000000	195.000000	110.837715	49.716072	29.250692	13.028237	30.544027	13.114957	30.360973	13.132246	29.058811	13.076407
1.900000	8.000000	195.000000	118.839569	31.701502	32.200954	8.198631	32.475163	8.124655	31.825718	8.151757	32.084782	8.188696
1.900000	8.000000	195.000000	131.322708	36.291832	35.401939	9.348725	35.742588	9.423246	35.978794	9.491877	35.083683	9.360960
1.900000	8.000000	195.000000	104.623886	63.600975	28.006626	16.806734	29.128496	16.961113	28.621798	17.025162	28.245550	16.859398
1.900000	8.000000	195.000000	119.987808	34.678417	32.407108	8.995805	32.305874	8.966490	32.297619	8.980926	32.324081	8.992448
1.900000	8.000000	195.000000	161.062744	1.158478	45.663227	0.000000	44.754234	0.000000	45.196930	0.000000	44.456131	0.000000
1.900000	8.000000	195.000000	104.936592	61.454189	28.150845	16.415972	28.239553	16.257668	28.201933	16.221416	28.147375	16.394827
1.900000	8.000000	195.000000	113.957573	66.105576	29.708849	17.519440	31.845064	17.631105	31.668644	17.646854	29.613098	17.561651
1.900000	8.000000	195.000000	105.390366	59.769413	28.304695	15.896948	29.359226	15.787209	28.351887	15.720268	28.287828	15.891445
1.900000	8.000000	195.000000	123.409592	49.234760	31.685266	13.118858	35.038517	12.842861	35.118210	12.811409	31.570105	13.065702
1.900000	10.000000	165.000000	104.636520	64.202171	28.090837	17.042173	28.383045	16.962236	28.649002	17.029818	28.101929	17.002529
1.900000	10.000000	165.000000	103.209427	58.564396	27.704273	15.534605	27.703672	15.548676	27.734385	15.526763	27.757465	15.532985
1.900000	10.000000	165.000000	105.928185	63.210075	28.420961	16.812462	28.616903	16.806080	28.603586	16.794901	28.465221	16.788582
1.900000	10.000000	165.000000	104.168091	40.810349	27.954500	10.621997	28.211304	10.820890	28.438662	10.719445	28.006779	10.528767
1.900000	10.000000	165.000000	104.663696	59.948936	28.085182	15.926371	28.091240	15.908967	28.185940	15.907360	28.101999	15.914060
1.900000	10.000000	165.000000	107.111534	59.533516	28.731489	15.811830	28.737009	15.814573	28.846367	15.802808	28.777946	15.800210
1.900000	10.000000	165.000000	104.866425	50.614872	28.138718	13.398251	28.166487	13.324018	28.205414	13.300027	28.153139	13.372819
1.900000	10.000000	165.000000	108.017914	58.451099	28.854321	15.513747	29.332172	15.506920	29.240170	15.501517	28.919748	15.511149
1.900000	10.000000	165.000000	105.447342	55.531940	28.303900	14.673629	28.332445	14.763767	28.342794	14.729034	28.308758	14.644556
1.900000	10.000000	165.000000	106.080132	48.259106	28.460638	12.713427	28.473928	12.736066	28.564096	12.716612	28.477486	12.685394
1.900000	10.000000	180.000000	104.654007	60.355843	28.001257	15.960430	28.632874	16.073523	28.632874	16.073523	28.001257	15.960430
1.900000	10.000000	180.000000	102.903511	51.742565	27.656775	13.677104	27.626345	13.684025	27.626345	13.684025	27.656775	13.677104
1.900000	10.000000	180.000000	105.164001	62.758675	28.277899	16.735962	28.409143	16.623648	28.409143	16.623648	28.277899	16.735962
1.900000	10.000000	180.000000	104.047569	44.372662	27.915880	11.666312	28.142591	11.607811	28.142591	11.607811	27.915880	11.666312
1.900000	10.000000	180.000000	104.256981	55.649410	27.994823	14.765907	28.014420	14.706776	28.014420	14.706776	27.994823	14.765907
1.900000	10.000000	180.000000	106.874527	59.448414	28.689034	15.768657	28.725796	15.781709	28.725796	15.781709	28.689034	15.768657
1.900000	10.000000	180.000000	106.128822	44.091393	28.567036	11.572229	28.485970	11.549734	28.485970	11.549734	28.567036	11.572229
1.900000	10.000000	180.000000	108.839790	59.730793	29.178795	15.833429	29.497139	15.826426	29.497139	15.826426	29.178795	15.833429
1.900000	10.000000	180.000000	105.939339	54.134556	28.430063	14.329667	28.478216	14.313504	28.478216	14.313504	28.430063	14.329667
1.900000	10.000000	180.000000	106.270836	52.219669	28.518866	13.752522	28.570780	13.820170	28.570780	13.820170	28.518866	13.752522
1.900000	10.000000	195.000000	105.506805	59.998169	28.325193	15.858533	28.999285	15.845151	28.708025	15.810196	28.318172	15.901455
1.900000	10.000000	195.000000	105.157196	54.343430	28.192245	14.398321	28.331375	14.353747	28.368876	14.366371	28.180563	14.388090
1.900000	10.000000	195.000000	105.857330	57.994869	28.263840	15.367397	28.685345	15.355992	28.659124	15.360897	28.223465	15.386898
1.900000	10.000000	195.000000	104.518066	39.110699	28.043837	10.040910	28.538298	10.267312	28.138802	10.364167	28.039894	10.127870
1.900000	10.000000	195.000000	105.325951	54.187576	28.254654	14.303341	28.336853	14.348085	28.311119	14.362863	28.258915	14.328094
1.900000	10.000000	195.000000	109.977547	55.641972	29.605938	14.725712	29.581505	14.733695	29.553434	14.749830	29.559381	14.737863
1.900000	10.000000	195.000000	109.869980	41.588497	29.451790	10.971527	29.641748	10.780237	29.691143	10.791646	29.448282	10.960556
1.900000	10.000000	195.000000	111.561958	56.604153	29.793743	14.996768	30.339302	14.993398	30.411852	15.000541	29.681486	14.999119
1.900000	10.000000	195.000000	106.559074	50.569534	28.717617	13.398297	28.659708	13.303234	28.673141	13.293633	28.661108	13.377892
1.900000	10.000000	195.000000	106.236710	45.070793	28.500175	11.786121	28.621880	11.849743	28.525450	11.875584	28.508633	11.816031
1.900000	12.000000	165.000000	102.533691	64.400909	27.529049	17.141741	27.551960	17.124228	27.550558	17.118719	27.528429	17.155231
1.900000	12.000000	165.000000	103.037064	62.309780	27.632828	16.568329	28.089659	16.543653	27.955923	16.545456	27.631144	16.556829
1.900000	12.000000	165.000000	103.742081	65.204124	27.827139	17.358025	27.817217	17.347898	27.942305	17.338182	27.880129	17.336433
1.900000	12.000000	165.000000	104.153778	65.979691	27.935366	17.621323	27.934488	17.523066	28.379587	17.526587	27.935940	17.597401
1.900000	12.000000	165.000000	106.533455	60.575211	28.586823	16.078264	28.614393	16.104666	28.654926	16.084391	28.598688	16.062963
1.900000	12.000000	165.000000	105.165451	61.451054	28.227047	16.330400	28.226091	16.348619	28.258936	16.330593	28.273315	16.321890
1.900000	12.000000	165.000000	104.116127	54.500645	27.950352	14.423441	27.970425	14.430496	27.982441	14.421012	27.956699	14.388951
1.900000	12.000000	165.000000	108.366302	66.775665	28.413517	17.783089	29.589666	17.771332	30.354521	17.772818	28.548355	17.766115
1.900000	12.000000	165.000000	103.401825	65.083069	27.687361	17.324062	27.881454	17.303265	27.827017	17.301001	27.683651	17.312275
1.900000	12.000000	165.000000	104.590042	62.501923	28.072861	16.617510	28.082397	16.602522	28.116186	16.599283	28.094875	16.597486
1.900000	12.000000	180.000000	102.904793	60.690659	27.641214	16.125826	27.638390	16.098660	27.638390	16.098660	27.641214	16.125826
1.900000	12.000000	180.000000	103.174179	62.202850	27.706505	16.544720	27.907290	16.515196	27.907290	16.515196	27.706505	16.544720
1.900000	12.000000	180.000000	103.405212	64.289337	27.760197	17.096243	27.789248	17.114780	27.789248	17.114780	27.760197	17.096243
1.900000	12.000000	180.000000	104.074638	57.962654	27.897879	15.374002	28.056686	15.349932	28.056686	15.349932	27.897879	15.374002
1.900000	12.000000	180.000000	105.992447	60.876511	28.450127	16.152760	28.486757	16.170372	28.486757	16.170372	28.450127	16.152760
1.900000	12.000000	180.000000	105.133537	59.896385	28.234079	15.901251	28.241621	15.917780	28.241621	15.917780	28.234079	15.901251
1.900000	12.000000	180.000000	103.938766	51.787041	27.906052	13.694735	27.928646	13.644612	27.928646	13.644612	27.906052	13.694735
1.900000	12.000000	180.000000	106.236275	67.057152	28.450533	17.864651	29.337187	17.836103	29.337187	17.836103	28.450533	17.864651
1.900000	12.000000	180.000000	103.464462	64.654648	27.782949	17.204212	27.796013	17.205908	27.796013	17.205908	27.782949	17.204212
1.900000	12.000000	180.000000	105.520172	63.031467	28.322763	16.732817	28.359797	16.755323	28.359797	16.755323	28.322763	16.732817
1.900000	12.000000	195.000000	102.665352	62.126019	27.577944	16.503551	27.603855	16.504347	27.572971	16.523285	27.567541	16.499081
1.900000	12.000000	195.000000	103.675629	57.058926	27.834539	15.121058	28.055252	15.104630	28.217365	15.102181	27.832731	15.137239
1.900000	12.000000	195.000000	103.546867	61.335411	27.773327	16.265623	27.886959	16.276251	27.814508	16.285585	27.829670	16.290672
1.900000	12.000000	195.000000	104.827530	56.149883	28.082216	14.894164	28.478331	14.831774	28.109955	14.833266	28.043022	14.934084
1.900000	12.000000	195.000000	106.448509	57.067112	28.573635	15.106733	28.634672	15.117118	28.593775	15.134256	28.562084	15.115310
1.900000	12.000000	195.000000	105.165482	58.520233	28.246056	15.508909	28.276920	15.513181	28.236685	15.517490	28.226906	15.528783
1.900000	12.000000	195.000000	104.150475	47.039070	27.964071	12.319647	27.993349	12.385941	27.979771	12.402204	27.957302	12.363828
1.900000	12.000000	195.000000	108.206421	63.096428	28.636824	16.765543	30.398928	16.758101	29.480497	16.749783	28.299278	16.786285
1.900000	12.000000	195.000000	103.671310	62.060356	27.805962	16.479465	27.944162	16.473314	27.987761	16.478029	27.800581	16.495535
1.900000	12.000000	195.000000	105.218033	57.616898	28.240723	15.259254	28.303154	15.254567	28.262053	15.254170	28.235571	15.283132
2.100000	7.000000	165.000000	108.739517	62.188995	29.212734	16.443119	29.536385	16.609800	29.275053	16.568119	29.153812	16.354269
